形式,No,正誤,画像,問題文,選択,選択,選択,選択,選択
5,11,二,,作業測定及び標準時間の設定に関する記述として、適切でないものはどれか。,余裕率を用いて標準時間を算出する方法には、外掛法と内掛法がある。,ペース評価法におけるレイティングは、観測者が作業時間を観測しながらレイティング係数を求め、正味時間を算出するのに用いられる。,PTS法によって正味時間を求める場合、レイティングを必要としない。,ストップウォッチ法による標準時間の設定に際し、レイティングを用いることはできない。,ストップウォッチ法で得られた時間資料は、標準時間の基礎資料とすることができる。
5,12,ロ,,作業改善の原則と手法に関する記述として、適切なものはどれか。,5W1H法の質問内容には、「いくらで」というHow muchの質問が含まれている。,ブレーン·ストーミングでは、四つの基本原則の一つに、他人から出されたアイディアをさらに発展させるという原則がある。,KJ法には、反対の法則、類似の法則、接近の法則及び因果の法則がある。,合理化の基本原則は、単純化、専門化及び満足化におけるそれぞれの英語の頭文字をとって3Sと呼ばれる。,加工工程は、付加価値を高める変化であるため、一般に、加工のムダは生じない。
5,13,二,,品質マネジメントシステムにおいて、トップマネジメントがマネジメントに深く関与する意志を示すために実行する事項として、適切でないものはどれか。,継続的な改善のための環境を提供する。,将来の事業環境を見据えた方針を策定する。,事業環境に基づいた事業方針·目標を設定する。,必要なときだけ進捗のレビューを行う。,事業方針·目標の正確·確実な展開を行う。
5,14,ロ,,品質管理のQC的考え方として、適切でないものはどれか。,品質第一,理論のみによる管理,バラツキ管理,管理のサイクル,プロセス管理
5,15,二,,統計的検定における「検出力」の説明として、適切なものはどれか。,検定を行うためにデータから計算される量,帰無仮説を採択する領域,帰無仮説が正しいとき、帰無仮説を棄却する確率,帰無仮説が正しくないとき、帰無仮説を棄却して対立仮説を採択する確率,対立仮説を採択する領域
5,16,ホ,,実験計画法に関する記述として、適切でないものはどれか。,フィッシャーの三原則とは、「反復の原則」、「無作為化の原則」及び「局所管理の原則」である。,フィッシャーの三原則の「反復の原則」とは、結果が偶然であるのか、本来の実力であるのかを判断するためのものである。,フィッシャーの三原則の「局所管理の原則」とは、取り上げようとしていない要因による効果を避けるためのものである。,「直交配列実験」とは、なるべく多くの因子を取り上げて、かつ、実験回数を増やすことなく行うための方法である。,実験データの解析には、分散分析以外の統計的方法はない。
5,17,二,,シューハート管理図に関する記述として、適切でないものはどれか。,中心線の両側に統計的に求めた管理限界線がある。,打点が管理限界外れであれば、工程が統計的管理状態でないと判断し、工程の調節や停止などのアクションをとる。,管理線(中心線と管理限界線)は、定期的に見直すことが望ましい。,ロット単位の製品の合否を判定するものである。,過去の時系列データを用いて、工程の統計的管理状態を評価することがある。
5,18,ホ,,"抜取検査に関する記述中の(内に当てはまる語句として、適切なものはどれか。
抜取検査には、サンプルのとり方の形式から、一回·二回·多回抜取方法という区分がある。
一回にまとめてサンプルをとり判定を行うよりも、手順は複雑になるが数回に分けてサンプルをとり、その都度、合否や継続の判定を行った方が効率的である場合がある。
このような抜取検査を、(　)という。",規準型抜取検查,選別型抜取検査,調整型抜取検査,連続生産型抜取検査,逐次抜取検查
5,19,ハ,,原価管理に関する記述として、適切でないものはどれか。,原価の計画と統制から成り立っている。,原価維持·原価改善·原価企画のアプローチがある。,どのような場合でも、原価を引き下げることが求められる。,原価の効率性を高めることが目的である。,実行可能な原価の目標を設定し、達成できるように業務を遂行する。
5,20,ホ,,原価の構成要素を発生形態別に分類したとき、労務費に含まれない費目はどれか。,法定福利費,退職金,雑給,賞与引当金,減価償却費
5,21,ハ,,損益分岐点分析に関する記述として、適切でないものはどれか。,損益分岐点図表の縦軸には、売上高と総原価を記入する。,総原価を、変動費と固定費に分解する。,損益分岐点の売上高は、変動費を限界利益で割れば求められる。,損益分岐点の売上高での利益は、0(ゼロ)円である。,限界利益率は、(1-変動費率)である。
5,22,ロ,,VE(価値工学)において、価値指数は「機能」を「原価」で割れば求められるが、この「原価」の内容として、適切なものはどれか。,材料費,製品のライフサイクルコスト,製造原価,埋没原価,機会原価
5,23,ホ,,労働者が、手すりがない足場で足元を見ずに移動していた際に、足場を踏み外し地上に落ちて重傷を負った場合における災害の分析として、適切でないものはどれか。,「起因物」は、足場である。,「不安全な状態」は、足場に手すりがなかったことである。,「事故の型」は、墜落である。,「不安全な行動」は、手すりがない足場で足元を見ずに移動したことである。,「加害物」は、手すりである。
5,24,ハ,,労働安全衛生法関係法令における特別教育に関する記述として、正しいものはどれか。,特別教育の実施について必要な事項は、事業者が事業場の作業実態を考慮し、安全衛生委員会の審議を経て定める。,事業者は、特別教育を実施したときは、遅滞なく、実施報告書を所轄労働基準監督署長に提出しなければならない。,特別教育の科目の全部又は一部について十分な知識及び技能を有していると認められる労働者については、当該科目についての特別教育を省略することができる。,特別教育は、事業場内で実施しなければならない。,事業者は、特別教育の受講者、科目等の記録を作成して、1年間保存しなければならない。
5,25,ハ,,"事業場の労働災害率に関する記述として、正しいものはどれか。
ただし、この事業場における、労働者の人数を500人·年間延べ労働時間を1000000時間·年間労働災害死傷者数を2人·延べ労働損失日数を100日とする。",この事業場の度数率は、0.2である。,この事業場の度数率は、4.0である。,この事業場の強度率は、0.1である。,この事業場の強度率は、1.0である。,この事業場の年千人率は、2.0である。
5,26,二,,環境基本法において「公害」として定義されていない事象であり、一般に、「典型七公害」に含まれないものはどれか。,悪臭,大気の汚染,土壌の汚染,廃棄物,振動
5,27,ロ,,"騒音規制法の目的に関する記述中の()内に当てはまる語句の組合せとして、正しいものはどれか。
この法律は、工場及び事業場における事業活動並びに( 1 )に伴って発生する相当範囲にわたる騒音について必要な規制を行うとともに、( 2 )に係る許容限度を定めること等により、( 3 )を保全し、( 4 )の健康の保護に資することを目的とする。",①建設工事②鉄道騷音③労働環境④労働者,①建設工事②自動車騷音③生活環境④国民,①商業活動②自動車騷音③労働環境④労働者,①商業活動②日常生活騒音③生活環境④国民,①建設工事②日常生活騒音③自然環境④国民
5,28,ロ,,職場の教育訓練ニーズを検討するに当たっての問題と、その問題を主として解決すべき主体の組合せとして、適切でないものはどれか。,(抱える問題)地域の活性化、雇用差別の廃絶　(解決すべき主体)国·地方自治体,(抱える問題)産業の活性化、技術力の向上　(解決すべき主体)企業,(抱える問題)コストの削減、不良の削減　(解決すべき主体)ライン,(抱える問題)システムへの対応、ノウハウの伝承　(解決すべき主体)ライン,(抱える問題)いい仕事をしたい、認められたい　(解決すべき主体)個人
5,29,ロ,,TWI-JI(仕事の教え方)において、「教え方の4段階」の第4段階である「教えた後をみる」の細目として、適切でないものはどれか。,仕事につかせる。,やらせながら、作業を説明させる。,たびたび調べる。,質問するようにしむける。,だんだん指導を減らしていく。
5,30,ロ,,TWI-JM(改善の仕方)に関する記述として、適切でないものはどれか。,実施するためには、現場の従業員の理解と協力が不可欠であり、目的をよく説明して協力を得るようにしなければならない。,大がかりな機械·設備の改善や配置の変更を目指すものである。,4段階法の「第2段階一細目ごとに自問する」は、細目ごとに6つ(なぜ、なに、どこ、いつ、だれ、どんな方法)の自問をするとである。,4段階法の「第3段階一新方法に展開する」では、不要な細目を取り去る、できるなら細目を結合する、細目を良い順序に組み替えるなどの手順で、改善案が検討される。,4段階法の「第4段階一新方法を実施する」では、上司や部下の納得を得て、安全や原価等の承認を得るなどして、改善案を実施に移す。
5,31,ホ,,TWI-JR(人の扱い方)において、監督者が個々の部下を知るために職場で行うこととして、適切でないものはどれか。,仕事に興味を抱いて働いているか、尋ねる。,仕事に対して注意が散漫でないか、観察する。,職場の人達と協調して仕事をしているか、観察する。,上司から認められたときの反応を見る。,家庭での出来事を、職場で常に報告させる。
5,32,二,,教育訓練の方法に関する記述として、適切でないものはどれか。,CAIは、コンピュータを応用した指導法である。,事例研究法は、事例を取り上げて問題点、原因、対応策などを参加者の全員に考えさせ、討議させる方法である。,役割演技法は、参加者の中から特定の者に特定の役割を与え、実演させる方法である。,講義法は、講師が演習を中心として教育内容を伝える方法である。,ジョブローテーションは、配置転換により様々な経験をさせて育成する方法である。
5,33,ホ,,設備計画を立案する場合に考慮しなければならない事項とその語句の組合せとして、適切でないものはどれか。,(事項)どの程度(品質)で　(語句)設備精度,(事項)どのように(工程、作り方)　(語句)生産方式,(事項)どのくらい(量)を　(語句)設備能力,(事項)いつから(時期)　(語句)設備設置時期,(事項)どのくらいで(コスト)　(語句)利益率
5,34,ホ,,日本産業規格(JIS)の「ディペンダビリティ(総合信頼性)用語」におけるMTBF(平均故障間動作時間)を表す式として、正しいものはどれか。,総動作時間÷故障時間,故障時間÷総動作時間,総故障時間÷故障数,総修理時間÷故障数,総動作時間÷総故障数
5,35,ハ,,精密平形水準器に関する記述として、適切でないものはどれか。,各部の途装やめっきは強固で、容易に色あせ·脱落·さびなどが生じるおそれがない。,種類は、感度によって1種、2種及び3種の3つの区分があり、等級は、性能によってA級及びB級の2等級がある。,底面は、きさげ仕上げ又はこれと同等以上の仕上げで、表面粗さは3.2Sとし、底面には、逃げ又はV溝を設けてはならない。,主気泡管と直角に副気泡管を備えている。,主気泡管の目盛は、約2mmの等間隔になっている。
5,36,ホ,,日本産業規格(JIS)の「量及び単位」における量とその単位記号の組合せとして、誤っているものはどれか。,(量)圧力　(単位記号)Pa,(量)摂氏温度　(単位記号)℃,(量)加速度　(単位記号)ms-²,(量)電流　(単位記号)A,(量)力　(単位記号)N・m
5,37,二,,測定器具の保守に関する記述として、適切でないものはどれか。,マイクロメータのスピンドルには、油を塗布しておくとよい。,ダイヤルゲージのスピンドルは、埃が付かないようにきれいに拭くとよい。,ハイトゲージのすべり面や各部には、油を塗布しておくとよい。,グラナイト製の石定盤の表面に工具等を落としたときは、落とした部分を砥石で研磨するとよい。,鋼製プロックゲージの各部には、油気を絶やしてはならない。
5,38,イ,,"設備管理に関する次の説明に該当する用語はどれか。
電力、潤滑油、振動、音、温度、圧力などを調べることによって、設備の性能や劣化状態などを、設備の運転中に定量的に把握し、その結果を基にして、設備の信頼性·安全性·寿命の予測を行う活動。",設備診断,定期点検,設備検査,生産保全,日常点検
5,39,二,,設備と環境に関する記述として、誤っているものはどれか。,工場立地法関係法令によれば、新設の工場においては、原則として、緑地面積率は20%以上、環境施設面積率は25%以上でなければならない。,労働安全衛生規則によれば、屋内作業場において騒音が90dBの環境では、事業者は、耳栓などの保護具を労働者に使用させるために備えなければならない。,事務所衛生基準規則によれば、事業者は、室の気温が10℃以下の場合は、暖房する等適当な温度調節の措置を講じなければならず、空気調和設備を設けている場合は、室の気温が18℃~28℃及び相対湿度が40%~70%になるように努めなければならない。,労働安全衛生規則によれば、機械検査のように精密な作業を常時行う作業場における作業面の照度は、150ルクス以上でなければならないとされている。,大気汚染防止法において、「粉じん」とは、物の破砕、選別その他の機械的処理又は堆積に伴い発生し、又は飛散する物質をいう。
5,40,二,,日本産業規格(JIS)の「ディペンダビリティ(総合信頼性)用語」によれば、アイテムの状態に関する記述において、アンアベイラビリティに関係するとされているものはどれか。,動作状態,非動作状態,待機状態,ダウン状態,動作不能状態
5,41,二,,工作機械の精度に関する記述として、誤っているものはどれか。,静的精度とは、無負荷状態で、静止状態又は運動が低速な状態における構成要素の形状、位置、運動及び相対的な姿勢の幾何学的な正確さをいい、幾何精度ともいう。,動的精度とは、動特性の一つで、構成要素の運動又は姿勢の正確さ及び運転状態の変動をいう。,位置決め精度とは、各運動軸による位置決めにおいて、設定した目標位置に対する実際に停止した位置の正確さをいう。,運動精度とは、動的精度の一つで、構成要素の運動の幾何学的な正確さをいう。,バックラッシとは、互いにはまり合って運動する機械要素の間に、運動方向に設けたすきまをいい、不用意に生じた運動方向の有害なすきまを含むことがある。
5,42,二,,ファクトリーオートメーション(FA)の構成機器に関する記述として、誤っているものはどれか。,センサとは、対象状態に関する測定量を、測定に適した信号に変換する系の最初の要素をいう。,工具マガジンとは、工具を保管するために、工作機械に取り付けた装置をいう。,ツーリングシステムとは、使用目的に合うように、所要の工具と工具保持具とを選択·組合せできるようにしたシステムをいう。,AGVとは、マシニングセンタ、ターニングセンタなどの数値制御工作機械において、工作物を自動的に供給·排出し、かつ、正確に位置決めするために、工作物を取り付けたパレットを自動的に交換する装置をいう。,オープンシステムとは、利用する側の目的に応じて、システムの構成を適合させられるような拡張性をもち、かつ、利用者がこの目的のために、その基本仕様及びインタフェースに関する情報を自由に利用できるシステムをいう。
5,43,ホ,,日本産業規格(JIS)における機械機能に関する記述として、誤っているものはどれか。,スキップ機能とは、外部からの信号によって、そのブロックの残りの実行を中断し、次のブロックに飛び越す機能をいう。,ドウェルとは、周期的又は継続的でない決められた間の時間遅れを与える機能をいう。,オーバーライドとは、作業中に作業者がプログラムされた値(例えば、送り速度、主軸速度)を一時的に変更することができる手動制御機能をいう。,オプショナルブロックスキップ(ブロックデリート)とは、ブロックの最初に機能キャラクタ“/”(スラッシュ)を付加して、このブロックを選択的に飛び越しができるようにする機能をいう。,オプショナルストップとは、あらかじめ決められた角度の位置に主軸を停止させる補助機能をいう。
5,44,二,,制御方式に関する記述として、誤っているものはどれか。,適応制御とは、制御対象の特性·環境などの変化に応じて、制御系の特性を所要の条件を満たすように変化させる制御をいう。,フィードバック制御とは、フィードバックによって制御量を目標値と比較し、それらを一致させるように操作量を生成する制御をいう。,数値制御とは、工作物に対する工具経路、加工に必要な作業の工程などを、それに対応する数値情報で指令する制御をいう。,最適制御とは、制御対象の特性に多少の変動があっても、制御系全体が不安定にならず、制御性能の劣化が少ないという強健性を考慮して設計された制御をいう。,シーケンス制御とは、あらかじめ定められた順序又は手続きに従って制御の各段階を逐次進めていく制御をいう。
5,45,二,,日本産業規格(JIS)の「計測用語」における誤差及び不確かさに関する用語とその定義の組合せとして、誤っているものはどれか。,（用語)精密さ　(定義)指定された条件の下で、同じ又は類似の対象について、反復測定によって得られる指示値又は測定値の間の一致の度合い。,（用語)補正　(定義)推定した系統効果に対する補償。,（用語)公差　(定義)一般に、指定された最大値と最小値との差の意味で用いられる。,（用語)繰返し性　(定義)同一の測定量で、測定条件を変更して行われた測定の精密さ。,（用語)最大許容誤差　(定義)既知の参照値に関して、ある与えられた測定、測定器又は測定システムの仕様又は規則によって許されている測定誤差の極限値。
5,46,ハ,,日本産業規格(JIS)の「工作機械一試験及び検査用語」における用語の定義に関する記述として、誤っているものはどれか。,安全性とは、工作機械を運転したときに、通常の作業条件の下では作業者及び機械を傷付けることがないような配慮がしてある度合いをいう。,加工性能とは、工作物を加工する際の生産性を左右する能力に関する工作機械の性能の総称をいう。,精度指数とは、工作物に対して工作機械が与えることができる精度の程度を表す指標をいう。,機械精度とは、静的精度及び位置決め精度の総称をいう。,温度特性とは、熱的に平衡状態にないときの機械の挙動、又は平衡状態に達したときの環境温度などの相違による機械の特性の変化をいう。
5,47,二,,日本産業規格(JIS)のマネジメントシステムのパフォーマンス改善において、数値及び言語データに対する技法の説明として、誤っているものはどれか。,パレート図　改善すべき事項(問題)の全体に及ぼす影響の確認、及び改善による効果の確認に使用する。,ヒストグラム　計量値データを統計的に解析して、中心傾向(平均値、メジアン、モード)、出現度数の幅、範囲、及び形状を表すことができる。,管理図　チェックシートとは異なり、標準的なプロセスにおいて時間の経過とともに変動する量を測定するために使用する。,マトリックス·データ解析　通常、大量にある数値データを解析して、項目を集約し、評価項目間の差を明確に表すために使用し、クラスター分析と呼ばれることがある。,マトリックス図　二元的配置の中から、問題の所在又は形態を探索したり、二元的関係の中から問題解決への着想を得たりする。
5,48,イ,,歯車に関する記述として、適切でないものはどれか。,モジュールとは、基準面上でのピッチと円周率πの積の値をいう。,ダイヤメトラルピッチとは、円周率πをインチ単位で表示した、基準面上でのピッチで除した値をいう。,圧力角とは、歯形が基準円と交わる点において、その半径線と歯形への接線とのなす角をいう。,平歯車は、基準歯すじが基準円筒の直線母線である円筒歯車をいう。,ハイポイドギヤは、食い違い軸間でかみ合う円すい、又は、ほぼ円すい形状の2つの歯車からなる歯車対をいう。
5,49,ホ,,日本産業規格(JIS)の「工作機械一名称に関する用語」における工作機械に関する記述として、誤っているものはどれか。,工作機械とは、主として金属の工作物を、切削、研削などによって、又は電気、その他のエネルギーを利用して不要な部分を取り除き、所要の形状に作り上げる機械をいう。,数値制御工作機械とは、工具と工作物との相対運動を、位置、速度などの数値情報によって制御し、加工に関わる一連の動作をプログラムした指令によって実行する工作機械をいう。,中ぐり盤とは、主軸に取り付けた中ぐりバイトを使用し、主軸を繰り出して中ぐり加工を行う工作機械をいう。,フライス盤とは、フライスを使用して、平面削り、溝削りなどの加工を行う工作機械をいう。,平削り盤とは、テーブルをラムの運動と直角方向に間欠的に送り、往復運動するラムに取り付けたバイトを使用して、工作物の平面及び溝削りを行う工作機械をいう。
5,50,ホ,,非金属材料に関する記述として、適切でないものはどれか。,ポリプロピレンは、ポリエチレンと比較し、透明性に優れている。,熱可塑性樹脂とは、加熱することで軟化する一方で、冷却すると固化する特性がある樹脂のことである。,フェノール樹脂は、熱硬化性樹脂の一つである。,オイルシールには、ニトリルゴムやアクリルゴムなどの合成ゴムが使われている。,天然ゴムは、耐熱性に優れている。
